DATA PEDIDO,DATA ENTREGA,PRODUTO,MEIO,FALHAS,STATUS,MOTIVO,Prazo
30/11/2004,14/12/2004,COBRANÇA SEM REGISTRO,CNAB,4,Operando,,14
30/11/2004,22/1/2005,CONTAS A PAGAR,INTERNET,9,Operando,,53
30/11/2004,9/12/2004,CONTAS A PAGAR,INTERNET,4,Operando,,9
1/12/2004,13/1/2005,CONTAS A PAGAR,INTERNET,7,Desistiu,MUITA BUROCRACIA,43
1/12/2004,20/1/2005,CONTAS A PAGAR,INTERNET,6,Operando,,50
2/12/2004,21/1/2005,COBRANÇA COM REGISTRO,CNAB,8,Desistiu,NÃO CUMPRIU PRAZO,50
2/12/2004,16/1/2005,COBRANÇA COM REGISTRO,CNAB,7,Desistiu,FALTA ASSISTENCIA TECNICA,45
2/12/2004,27/1/2005,CONTAS A PAGAR,INTERNET,6,Desistiu,NÃO CUMPRIU PRAZO,56
2/12/2004,10/1/2005,CONTAS A PAGAR,INTERNET,8,Desistiu,NÃO CUMPRIU PRAZO,39
2/12/2004,2/1/2005,COBRANÇA SEM REGISTRO,INTERNET,3,Operando,,31
7/12/2004,2/2/2005,COBRANÇA COM REGISTRO,INTERNET,8,Desistiu,NÃO CUMPRIU PRAZO,57
7/12/2004,18/2/2005,CONTAS A PAGAR,INTERNET,8,Operando,,73
7/12/2004,14/1/2005,CONTAS A PAGAR,INTERNET,5,Operando,,38
7/12/2004,13/1/2005,CONTAS A PAGAR,INTERNET,7,Operando,,37
8/12/2004,2/3/2005,COBRANÇA COM REGISTRO,CNAB,8,Desistiu,NÃO CUMPRIU PRAZO,84
8/12/2004,1/3/2005,COBRANÇA COM REGISTRO,CNAB,10,Desistiu,NÃO CUMPRIU PRAZO,83
8/12/2004,18/1/2005,CONTAS A PAGAR,INTERNET,7,Desistiu,NÃO CUMPRIU PRAZO,41
8/12/2004,12/1/2005,COBRANÇA COM REGISTRO,CNAB,9,Operando,,35
8/12/2004,7/1/2005,CONTAS A PAGAR,INTERNET,4,Operando,,30
9/12/2004,18/3/2005,CONTAS A PAGAR,CNAB,10,Desistiu,NÃO CUMPRIU PRAZO,99
9/12/2004,18/1/2005,CONTAS A PAGAR,INTERNET,7,Operando,,40
9/12/2004,14/1/2005,CONTAS A PAGAR,INTERNET,8,Operando,,36
10/12/2004,20/3/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,100
10/12/2004,28/2/2005,COBRANÇA COM REGISTRO,CNAB,10,Desistiu,NÃO CUMPRIU PRAZO,80
10/12/2004,4/1/2005,COBRANÇA COM REGISTRO,CNAB,7,Operando,,25
13/12/2004,13/1/2005,COBRANÇA COM REGISTRO,INTERNET,6,Operando,,31
14/12/2004,23/3/2005,CONTAS A PAGAR,CNAB,11,Desistiu,NÃO CUMPRIU PRAZO,99
14/12/2004,19/3/2005,CONTAS A PAGAR,CNAB,12,Desistiu,NÃO CUMPRIU PRAZO,95
14/12/2004,17/3/2005,CONTAS A PAGAR,CNAB,12,Desistiu,NÃO CUMPRIU PRAZO,93
15/12/2004,14/2/2005,CONTAS A PAGAR,CNAB,7,Desistiu,NÃO CUMPRIU PRAZO,61
16/12/2004,2/1/2005,COBRANÇA COM REGISTRO,CNAB,2,Desistiu,PREÇO DOS SERVIÇOS,17
16/12/2004,8/2/2005,CONTAS A PAGAR,INTERNET,14,Desistiu,MUITA BUROCRACIA,54
16/12/2004,16/1/2005,CONTAS A PAGAR,INTERNET,10,Operando,,31
16/12/2004,3/1/2005,COBRANÇA COM REGISTRO,INTERNET,4,Operando,,18
20/12/2004,27/3/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,97
20/12/2004,17/2/2005,CONTAS A PAGAR,CNAB,6,Desistiu,MUITA BUROCRACIA,59
20/12/2004,25/1/2005,CONTAS A PAGAR,INTERNET,3,Desistiu,FALTA ASSISTENCIA TECNICA,36
21/12/2004,15/1/2005,COBRANÇA COM REGISTRO,INTERNET,2,Desistiu,OUTROS,25
21/12/2004,30/3/2005,COBRANÇA COM REGISTRO,CNAB,9,Operando,,99
21/12/2004,14/1/2005,COBRANÇA COM REGISTRO,CNAB,6,Operando,,24
21/12/2004,27/12/2004,COBRANÇA SEM REGISTRO,INTERNET,4,Operando,,6
22/12/2004,25/2/2005,CONTAS A PAGAR,CNAB,8,Desistiu,NÃO CUMPRIU PRAZO,65
22/12/2004,31/1/2005,COBRANÇA COM REGISTRO,CNAB,7,Desistiu,OFERTA CONCORRENCIA,40
22/12/2004,27/1/2005,CONTAS A PAGAR,CNAB,5,Desistiu,NÃO CUMPRIU PRAZO,36
22/12/2004,27/1/2005,CONTAS A PAGAR,CNAB,6,Desistiu,MUITA BUROCRACIA,36
22/12/2004,18/1/2005,COBRANÇA COM REGISTRO,CNAB,5,Operando,,27
23/12/2004,23/1/2005,CONTAS A PAGAR,INTERNET,5,Operando,,31
27/12/2004,8/3/2005,CONTAS A PAGAR,INTERNET,9,Desistiu,NÃO CUMPRIU PRAZO,71
27/12/2004,16/2/2005,CONTAS A PAGAR,INTERNET,7,Desistiu,MUITA BUROCRACIA,51
27/12/2004,24/1/2005,CONTAS A PAGAR,INTERNET,4,Desistiu,FALTA DE RETORNO,28
29/12/2004,27/3/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,88
29/12/2004,16/3/2005,COBRANÇA COM REGISTRO,CNAB,10,Desistiu,NÃO CUMPRIU PRAZO,77
29/12/2004,7/3/2005,CONTAS A PAGAR,CNAB,8,Desistiu,NÃO CUMPRIU PRAZO,68
29/12/2004,4/2/2005,CONTAS A PAGAR,CNAB,5,Desistiu,OFERTA CONCORRENCIA,37
29/12/2004,6/2/2005,COBRANÇA COM REGISTRO,CNAB,5,Operando,,39
29/12/2004,5/2/2005,COBRANÇA COM REGISTRO,CNAB,6,Operando,,38
29/12/2004,6/2/2005,CONTAS A PAGAR,INTERNET,6,Operando,,39
29/12/2004,26/1/2005,CONTAS A PAGAR,INTERNET,7,Operando,,28
29/12/2004,25/1/2005,CONTAS A PAGAR,INTERNET,4,Operando,,27
29/12/2004,25/1/2005,CONTAS A PAGAR,INTERNET,8,Operando,,27
29/12/2004,25/1/2005,CONTAS A PAGAR,INTERNET,9,Operando,,27
29/12/2004,25/1/2005,CONTAS A PAGAR,INTERNET,5,Operando,,27
29/12/2004,24/1/2005,CONTAS A PAGAR,INTERNET,5,Operando,,26
29/12/2004,24/1/2005,CONTAS A PAGAR,INTERNET,5,Operando,,26
3/1/2005,17/2/2005,CONTAS A PAGAR,CNAB,7,Desistiu,MUITA BUROCRACIA,45
3/1/2005,15/2/2005,CONTAS A PAGAR,CNAB,6,Desistiu,MUITA BUROCRACIA,43
3/1/2005,15/2/2005,CONTAS A PAGAR,CNAB,8,Desistiu,FALTA ASSISTENCIA TECNICA,43
5/1/2005,19/2/2005,CONTAS A PAGAR,INTERNET,7,Desistiu,MUDANÇAS INTERNAS,45
6/1/2005,10/4/2005,CONTAS A PAGAR,INTERNET,11,Operando,,94
12/1/2005,1/3/2005,CONTAS A PAGAR,CNAB,8,Desistiu,NÃO CUMPRIU PRAZO,48
13/1/2005,22/2/2005,COBRANÇA COM REGISTRO,CNAB,5,Desistiu,FALTA ASSISTENCIA TECNICA,40
13/1/2005,22/2/2005,CONTAS A PAGAR,CNAB,6,Desistiu,NÃO CUMPRIU PRAZO,40
13/1/2005,4/4/2005,CONTAS A PAGAR,INTERNET,12,Desistiu,NÃO CUMPRIU PRAZO,81
13/1/2005,23/2/2005,CONTAS A PAGAR,INTERNET,3,Operando,,41
13/1/2005,23/2/2005,CONTAS A PAGAR,INTERNET,6,Operando,,41
13/1/2005,10/2/2005,CONTAS A PAGAR,INTERNET,4,Operando,,28
13/1/2005,9/2/2005,CONTAS A PAGAR,INTERNET,5,Operando,,27
13/1/2005,8/2/2005,CONTAS A PAGAR,INTERNET,4,Operando,,26
13/1/2005,18/1/2005,COBRANÇA COM REGISTRO,INTERNET,2,Operando,,5
14/1/2005,11/2/2005,COBRANÇA COM REGISTRO,CNAB,4,Operando,,28
14/1/2005,17/2/2005,COBRANÇA SEM REGISTRO,INTERNET,4,Operando,,34
17/1/2005,3/3/2005,CONTAS A PAGAR,INTERNET,7,Desistiu,NÃO CUMPRIU PRAZO,45
18/1/2005,1/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,MUITA BUROCRACIA,73
18/1/2005,20/4/2005,CONTAS A PAGAR,INTERNET,14,Desistiu,NÃO CUMPRIU PRAZO,92
18/1/2005,8/3/2005,CONTAS A PAGAR,INTERNET,6,Desistiu,NÃO CUMPRIU PRAZO,49
18/1/2005,5/3/2005,CONTAS A PAGAR,INTERNET,5,Desistiu,NÃO CUMPRIU PRAZO,46
18/1/2005,5/3/2005,CONTAS A PAGAR,INTERNET,7,Desistiu,NÃO CUMPRIU PRAZO,46
19/1/2005,20/3/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,60
19/1/2005,4/2/2005,COBRANÇA COM REGISTRO,CNAB,3,Desistiu,MUDANÇAS INTERNAS,16
19/1/2005,28/1/2005,COBRANÇA COM REGISTRO,CNAB,4,Operando,,9
19/1/2005,16/2/2005,COBRANÇA COM REGISTRO,INTERNET,6,Operando,,28
19/1/2005,13/2/2005,CONTAS A PAGAR,INTERNET,5,Operando,,25
